Quotazioni Immobiliari : Informazioni di Zona OMI - Semestre 2024/2 - elaborazione del 23-MAG-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona_Descr;Zona;LinkZona;Cod_tip_prev;Descr_tip_prev;Stato_prev;Microzona;
NORD-EST;VENETO;BL;5025021;D2AZ; ;D530;FELTRE;B;'CENTRALE: VIALE XX SETTEMBRE, LARGO PORTA CASTALDI, VIA CAMPOGIORGIO, VIA CRISPI, VIA BORGO UNIERA, VIA DIETRO LE';B2;BL00001764;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025021;D2AZ; ;D530;FELTRE;B;'CENTRALE FUORI MURA';B3;BL00011806;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025021;D2AZ; ;D530;FELTRE;D;'PERIFERICA OVEST';D4;BL00011829;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025021;D2AZ; ;D530;FELTRE;E;'INSEDIAMENTO INDUSTRIALE DI VILLA PAIERA';E3;BL00001254;7;Capannoni tipici;N;3;
NORD-EST;VENETO;BL;5025021;D2AZ; ;D530;FELTRE;E;'FRAZIONI DI UMIN, VILLABRUNA, FOEN';E5;BL00011807;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025021;D2AZ; ;D530;FELTRE;R;'ZONA RURALE, CASE SPARSE';R3;BL00011808;0;Non presente;0;0;
NORD-EST;VENETO;BL;5025022;D2BA; ;D686;FONZASO;B;'CENTRALE';B1;BL00000501;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025022;D2BA; ;D686;FONZASO;D;'PRIMA PERIFERIA';D1;BL00000502;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025022;D2BA; ;D686;FONZASO;R;'RURALE';R1;BL00002151;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025025;D2BC; ;E113;GOSALDO;B;'CENTRALE';B1;BL00001920;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025025;D2BC; ;E113;GOSALDO;R;'RURALE';R1;BL00002147;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025026;D2BD; ;E429;LAMON;B;'CENTRALE';B1;BL00000554;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025026;D2BD; ;E429;LAMON;D;'FRAZIONI DI ARINA, PIEI, PEZZE';D2;BL00002280;20;Abitazioni civili;N;2;
NORD-EST;VENETO;BL;5025026;D2BD; ;E429;LAMON;R;'RURALE';R1;BL00002004;0;Non presente; ;3;
NORD-EST;VENETO;BL;5025027;D2BE; ;E490;LA VALLE AGORDINA;B;'CENTRALE';B1;BL00000572;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025027;D2BE; ;E490;LA VALLE AGORDINA;R;'RURALE';R1;BL00002221;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025029;D2BF; ;E588;LIMANA;B;'ZONA CENTRALE';B2;BL00010888;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025029;D2BF; ;E588;LIMANA;D;'PERIFERIA OVEST';D2;BL00010889;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025029;D2BF; ;E588;LIMANA;E;'ZONA INDUSTRIALE';E2;BL00010947;7;Capannoni tipici;N;;
NORD-EST;VENETO;BL;5025029;D2BF; ;E588;LIMANA;R;'EXTRAURBANA VALLE';R2;BL00010891;0;Non presente;0;0;
NORD-EST;VENETO;BL;5025029;D2BF; ;E588;LIMANA;R;'EXTRAURBANA MONTANA';R3;BL00010949;0;Non presente;0;;
NORD-EST;VENETO;BL;5025030;D2BG; ;E622;LIVINALLONGO COL LANA;B;'CENTRALE';B1;BL00000614;20;Abitazioni civili;N;2;
NORD-EST;VENETO;BL;5025030;D2BG; ;E622;LIVINALLONGO COL LANA;B;'TURISTICA - ARABBA';B2;BL00000615;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025030;D2BG; ;E622;LIVINALLONGO COL LANA;E;'NUCLEI FRAZIONALI';E1;BL00000617;20;Abitazioni civili;N;2;
NORD-EST;VENETO;BL;5025030;D2BG; ;E622;LIVINALLONGO COL LANA;R;'RURALE';R1;BL00002141;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025032;D2BI; ;E687;LORENZAGO DI CADORE;B;'CENTRALE';B1;BL00000647;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025032;D2BI; ;E687;LORENZAGO DI CADORE;R;'RURALE';R1;BL00002066;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025033;D2BJ; ;E708;LOZZO DI CADORE;B;'CENTRALE';B1;BL00000664;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025033;D2BJ; ;E708;LOZZO DI CADORE;R;'RURALE';R1;BL00002065;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025035;D2BL; ;G169;OSPITALE DI CADORE;B;'CENTRALE';B1;BL00000698;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025035;D2BL; ;G169;OSPITALE DI CADORE;R;'RURALE';R1;BL00002067;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025036;D2BM; ;G404;PEDAVENA;B;'CENTRALE';B1;BL00000720;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025036;D2BM; ;G404;PEDAVENA;D;'PERIFERICA';D1;BL00000722;20;Abitazioni civili;N;2;
NORD-EST;VENETO;BL;5025036;D2BM; ;G404;PEDAVENA;R;'RURALE';R1;BL00002164;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025037;D2BN; ;G442;PERAROLO DI CADORE;B;'CENTRALE';B1;BL00000741;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025037;D2BN; ;G442;PERAROLO DI CADORE;B;'NUCLEO DI RECENTE SVILUPPO LOC. CARALTE';B2;BL00000742;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025037;D2BN; ;G442;PERAROLO DI CADORE;R;'RURALE';R1;BL00002068;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025039;D2BQ; ;G642;PIEVE DI CADORE;B;'CENTRALE';B1;BL00000786;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025039;D2BQ; ;G642;PIEVE DI CADORE;D;'PERIFERICA';D3;BL00002207;20;Abitazioni civili;N;0;
NORD-EST;VENETO;BL;5025039;D2BQ; ;G642;PIEVE DI CADORE;R;'RURALE';R1;BL00002206;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025043;D2BT; ;H327;RIVAMONTE AGORDINO;B;'CENTRALE';B1;BL00000835;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025043;D2BT; ;H327;RIVAMONTE AGORDINO;E;'NUCLEI FRAZIONALI';E1;BL00000837;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025043;D2BT; ;H327;RIVAMONTE AGORDINO;R;'RURALE';R1;BL00002143;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025044;D2BU; ;H379;ROCCA PIETORE;B;'CENTRALE';B1;BL00000851;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025044;D2BU; ;H379;ROCCA PIETORE;E;'NUCLEI FRAZIONALI';E1;BL00000853;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025044;D2BU; ;H379;ROCCA PIETORE;R;'RURALE';R1;BL00002142;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025045;D2BV; ;H938;SAN GREGORIO NELLE ALPI;B;'CENTRALE';B1;BL00000867;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025045;D2BV; ;H938;SAN GREGORIO NELLE ALPI;E;'NUCLEI FRAZIONALI';E1;BL00000869;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025045;D2BV; ;H938;SAN GREGORIO NELLE ALPI;R;'RURALE';R1;BL00002240;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025046;D2BW; ;I063;SAN NICOLO` DI COMELICO;B;'CENTRALE';B1;BL00000883;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025046;D2BW; ;I063;SAN NICOLO` DI COMELICO;E;'NUCLEI FRAZIONALI';E1;BL00000885;1;Ville e Villini;N;2;
NORD-EST;VENETO;BL;5025046;D2BW; ;I063;SAN NICOLO` DI COMELICO;R;'RURALE';R1;BL00002148;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025047;D2BX; ;I088;SAN PIETRO DI CADORE;B;'CENTRALE';B1;BL00000899;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025047;D2BX; ;I088;SAN PIETRO DI CADORE;E;'NUCLEI FRAZIONALI';E1;BL00000901;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025047;D2BX; ;I088;SAN PIETRO DI CADORE;R;'RURALE';R1;BL00002150;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025048;D2BY; ;I206;SANTA GIUSTINA;B;'CENTRALE';B1;BL00000915;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025048;D2BY; ;I206;SANTA GIUSTINA;D;'PERIFERICA';D1;BL00000916;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025048;D2BY; ;I206;SANTA GIUSTINA;E;'NUCLEI FRAZIONALI';E1;BL00000917;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025048;D2BY; ;I206;SANTA GIUSTINA;R;'RURALE';R1;BL00002165;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025049;D2CA; ;I347;SAN TOMASO AGORDINO;B;'CENTRALE';B1;BL00000947;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025049;D2CA; ;I347;SAN TOMASO AGORDINO;E;'NUCLEI FRAZIONALI';E1;BL00000949;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025049;D2CA; ;I347;SAN TOMASO AGORDINO;R;'RURALE';R1;BL00002161;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025051;D2CB; ;I392;SAN VITO DI CADORE;B;'CENTRALE';B1;BL00000963;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025051;D2CB; ;I392;SAN VITO DI CADORE;R;'RURALE';R1;BL00002152;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025053;D2CD; ;I563;SEDICO;B;'CENTRALE SEDICO';B2;BL00010868;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025053;D2CD; ;I563;SEDICO;D;'PERIFERICA SEDICO';D2;BL00010865;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025053;D2CD; ;I563;SEDICO;E;'PERON-MAS';E2;BL00010769;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025053;D2CD; ;I563;SEDICO;E;'BOLAGO-LIBANO-BARP';E3;BL00010770;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025053;D2CD; ;I563;SEDICO;E;'ROE';E4;BL00010771;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025053;D2CD; ;I563;SEDICO;R;'RURALE VALLE';R2;BL00010772;0;Non presente;0;0;
NORD-EST;VENETO;BL;5025053;D2CD; ;I563;SEDICO;R;'EXTRAURBANA MONTANA';R3;BL00010864;0;Non presente;0;0;
NORD-EST;VENETO;BL;5025054;D2CE; ;I592;SELVA DI CADORE;B;'CENTRALE';B1;BL00001011;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025054;D2CE; ;I592;SELVA DI CADORE;R;'RURALE';R1;BL00002122;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025055;D2CF; ;I626;SEREN DEL GRAPPA;B;'CENTRALE';B1;BL00001027;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025055;D2CF; ;I626;SEREN DEL GRAPPA;R;'RURALE';R1;BL00002105;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025058;D2CG; ;I673;SOVRAMONTE;B;'CENTRALE';B1;BL00001046;20;Abitazioni civili;N;2;
NORD-EST;VENETO;BL;5025058;D2CG; ;I673;SOVRAMONTE;E;'NUCLEI FRAZIONALI';E1;BL00001048;20;Abitazioni civili;N;2;
NORD-EST;VENETO;BL;5025058;D2CG; ;I673;SOVRAMONTE;E;'TURISTICA CROCE D`AUNE';E2;BL00001049;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025058;D2CG; ;I673;SOVRAMONTE;R;'RURALE';R1;BL00002144;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025056;D2CH; ;I866;SOSPIROLO;B;'CENTRALE';B1;BL00001063;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025056;D2CH; ;I866;SOSPIROLO;D;'PERIFERICA';D1;BL00001064;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025056;D2CH; ;I866;SOSPIROLO;R;'RURALE';R1;BL00002120;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025057;D2CI; ;I876;SOVERZENE;B;'CENTRALE';B1;BL00001079;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025057;D2CI; ;I876;SOVERZENE;R;'RURALE';R1;BL00002103;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025059;D2CJ; ;L030;TAIBON AGORDINO;B;'CENTRALE';B1;BL00001095;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025059;D2CJ; ;L030;TAIBON AGORDINO;E;'NUCLEI FRAZIONALI';E1;BL00001097;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025059;D2CJ; ;L030;TAIBON AGORDINO;R;'RURALE';R1;BL00002102;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025060;D2CK; ;L040;TAMBRE;B;'CENTRALE';B1;BL00001114;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025060;D2CK; ;L040;TAMBRE;E;'FRAZIONI DI VAL DE NOGHER E BROZ';E1;BL00001116;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025060;D2CK; ;L040;TAMBRE;E;'TURISTICA SANT`ANNA';E2;BL00001117;20;Abitazioni civili;N;1;
